SRSXF.KEY$,SRSXF.NOTCH.NO%,SRSXF.SHELF.KEY%,SRSXF.SHELF.DESC$
=;0008000104,8,41,400 Wood Shelf                                      
609=08000102,24,1704,Three Way Gondola Shelf - Left                      
93;70800040;,1,1839,Queue System Shelf                                  
3>9>08000104,0,534,BFSDU Shelf                                         
5;808000102,23,1704,Three Way Gondola Shelf - Left                      
<:5508000806,20,100,300 Glass Shelf                                     
7:8;08000307,23,91,15" Acrylic SlopingTray                             
583108000201,4,6,400 Base                                            
689108000105,20,319,Fragrance Shelf                                     
:59>08000102,26,1704,Three Way Gondola Shelf - Left                      
170008000303,14,1570,Large Clear Square Plinth Box                       
<:5508000403,27,1825,Focus Need Tray Base                                
6:4<08000301,41,929,1/2 Micro Slat Panel Top with                       
98:<08000101,0,321,15" Mid Gondola Promotional Un                      
>86108000202,44,319,Fragrance Shelf                                     
>86108000205,21,319,Fragrance Shelf                                     
93:>08000101,30,534,BFSDU Shelf                                         
14:;08000103,8,534,BFSDU Shelf                                         
<84508000409,21,1556,Dummy Pack - Tray                                   
569<08000103,20,40,300 Wood Shelf                                      
1<9308000101,38,1480,TOD 500 Shelf (Inc EPOS Strip)                      
<9=08000104,9,1248,Three Way Gondola Shelf - Cent                      
289>08000104,7,1248,Three Way Gondola Shelf - Cent                      
48??07000601,32,41,400 Wood Shelf                                      
><5208000705,25,904,300 Glass Shelf with Dividers                       
3;:908000206,9,1837,IQM Single 1/2 Width Shelf                          
689108000204,28,319,Fragrance Shelf                                     
78920800020;,1,1839,Queue System Shelf                                  
453:08000703,36,252,500 Wood Shelf                                      
518;08000205,13,29,400 Wood Shelf with dividers                        
;>9=08000105,1,1701,Three Way Gondola Shelf - Left                      
00:408000101,0,42,                                                    
8=9:08000402,23,41,400 Wood Shelf                                      
118:08000202,21,901,400 Wood Shelf with Dividers                        
;>9=08000101,30,1704,Three Way Gondola Shelf - Left                      
48508000:03,16,115,300 Glass Shelf with dividers                       
17:408000101,30,534,BFSDU Shelf                                         
<:::08000105,0,41,400 Wood Shelf                                      
48??07000205,2,897,400 GF/GL Lower Base Shelf                          
4?7:08000504,0,6,400 Base                                            
253=0800020<,1,825,300mm Metal Gondola Base Shelf                      
789208000102,11,646,Water FSDU Shelf                                    
133>08000<10,5,1004,400mm Metal Wall Base Shelf wi                      
<:4608000705,11,29,400 Wood Shelf with dividers                        
058808000305,1,1764,Sunglasses Base Dump Bin                            
118:08000104,6,901,400 Wood Shelf with Dividers                        
02:708000101,0,1546,400mm Mid Gondola Site                              
264208000:08,2,897,400 GF/GL Lower Base Shelf                          
393107000102,33,1302,400mm Metal Shelf with Divider                      
<?8908000106,2,897,400 GF/GL Lower Base Shelf                          
339708000101,33,1701,Three Way Gondola Shelf - Left                      
>=5208000303,33,904,300 Glass Shelf with Dividers                       
118:08000802,21,901,400 Wood Shelf with Dividers                        
9?9?08000104,0,40,300 Wood Shelf                                      
058808000505,1,1764,Sunglasses Base Dump Bin                            
<79108000204,13,41,400 Wood Shelf                                      
799708000102,19,534,BFSDU Shelf                                         
<>2608000801,59,881,Clip Strip                                          
609208000805,2,897,400 GF/GL Lower Base Shelf                          
<>:<08000105,0,1704,Three Way Gondola Shelf - Left                      
6:4<08000403,0,955,15" Base                                            
82:<08000104,6,534,BFSDU Shelf                                         
115?08000203,20,1382,200 Glass Shelf with Dividers                       
<28:08000201,32,41,400 Wood Shelf                                      
<:880800011?,9,1816,Hanging Dump Bin incl Ticket H                      
264208000:03,33,1252,400 Wood Shelf with Navigation                      
<>180800042:,19,901,400 Wood Shelf with Dividers                        
=>9=08000101,30,1704,Three Way Gondola Shelf - Left                      
154<08000103,34,824,300mm Metal Shelf with Divider                      
<7<08000104,25,41,400 Wood Shelf                                      
>2:=08000102,23,1474,TOD 250 Shelf (Inc. Ticket Str                      
48508000504,7,43,400 Glass Shelf with dividers                       
<>4?08000103,34,1816,Hanging Dump Bin incl Ticket H                      
48508000203,16,115,300 Glass Shelf with dividers                       
689108000507,5,319,Fragrance Shelf                                     
