SRPOG.KEY$,SRPOG.POGID%,SRPOG.ACT.DATE$,SRPOG.DEACT.DATE$,SRPOG.DESCRIPTION$,SRPOG.PLANNER.FAMILY$,SRPOG.MODULE.COUNT%,SRPOG.CAT.DBKEY%,SRPOG.KEY.LEVEL%,SRPOG.LIVE.RPT.CNT%,SRPOG.DATE.RPT.CNT$,SRPOG.PEND.RPT.CNT%,SRPOG.CAT1.ID%,SRPOG.CAT2.ID%,SRPOG.CAT3.ID%,SRPOG.FILLER$
39=0800,491150,20151209,20151229,0000491150                    ,Healthcare SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
=5:30800,491152,20160203,21991231,0000491152                    ,Healthcare SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
<6::0800,209020,20151230,20160119,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,2,1,6819,7072, 
19930800,301912,20151111,20160105,TOD2FRONT                     ,Tod                           ,1,-1,3,1,20151223,1,1,6819,10681, 
39:10800,21414,20160106,20160119,BFSDU                         ,BFSDUs                        ,1,168190000,2,255,20151223,1,1,6819,0, 
66:10800,301332,20151209,20160105,FragSS1                       ,Mens Fine Fragrance           ,1,-1,3,1,20151223,1,1,6819,10681, 
0>:70800,363635,20160120,21991231,Razors&Blades200              ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
:;=30700,179452,20150518,21991231,ChilBsk2                      ,Snacks                        ,1,168199456,3,1,20151223,1,1,6819,9456, 
64900800,307528,20151230,20160119,0000307528                    ,L Oreal SS Cos                ,1,-1,3,255,20151223,2,1,6819,10967, 
02940800,444451,20160120,21991231,Sun Preps Mid                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
=990800,486314,20151125,20151229,BFSDU                         ,BFSDUs                        ,1,168197072,3,1,20151223,255,1,6819,7072, 
;5;80800,20220,20151230,20160202,Eye mid                       ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
6?;80800,540045,20151230,20160202,Hlth Bkwll Mid3               ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
0=;90800,491144,20151230,20160202,0000491144                    ,Healthcare SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
:<=30700,179449,20150518,21991231,ChilBsk3                      ,Snacks                        ,1,168199456,3,1,20151223,1,1,6819,9456, 
