SRPOG.KEY$,SRPOG.POGID%,SRPOG.ACT.DATE$,SRPOG.DEACT.DATE$,SRPOG.DESCRIPTION$,SRPOG.PLANNER.FAMILY$,SRPOG.MODULE.COUNT%,SRPOG.CAT.DBKEY%,SRPOG.KEY.LEVEL%,SRPOG.LIVE.RPT.CNT%,SRPOG.DATE.RPT.CNT$,SRPOG.PEND.RPT.CNT%,SRPOG.CAT1.ID%,SRPOG.CAT2.ID%,SRPOG.CAT3.ID%,SRPOG.FILLER$
>9=0800,491137,20151209,20151229,0000491137                    ,Healthcare SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
550;0700,265830,20140416,21991231,Essie R&R 1Mod                ,Essie SS Cosmetics            ,1,100020027,3,1,20151223,1,1,2,27, 
62:10800,10080,20151209,20160105,EBtyEnd1                      ,EB SP G End                   ,1,168197090,3,1,20151223,1,1,6819,7090, 
>79=0800,491152,20151209,20151229,0000491152                    ,Healthcare SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
;5710800,466460,20151005,20160103,Chi'd K1                      ,Chilled Food                  ,1,100020021,3,1,20151223,255,1,2,21, 
9=9<0800,21714,20160120,21991231,Tiss Mid                      ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
10:40800,209006,20160120,21991231,IQMFSDU2                      ,IQM FSDU                      ,1,168197081,3,255,20151223,1,1,6819,7081, 
4?020800,523570,20151111,21991231,FlexSp4                       ,Christmas Flexible Space      ,2,100029642,3,1,20151223,255,1,2,9642, 
>?990800,24417,20151125,20151229,Mens Mid                      ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
:1340800,2078,20150907,21991231,Tissues 3                     ,Tissues                       ,3,100020013,3,1,20151223,1,1,2,13, 
<8450800,296932,20150824,21991231,C&C 4                         ,Cough And Colds               ,4,100020022,3,1,20151223,1,1,2,22, 
5::90800,363635,20151230,20160119,Razors&Blades200              ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
73310700,465975,20140514,21991231,0000465975                    ,BFSDU's                       ,1,-1,3,1,20151223,1,1,6819,10967, 
5<5=0800,27802,20151014,20160105,JML E1                        ,JML                           ,1,-1,3,1,20151223,1,1,6819,10071, 
3:??0700,518856,20150921,21991231,XGreet1                       ,Christmas Greetings           ,1,100029642,3,1,20151223,255,1,2,9642, 
4?870800,307549,20151125,20151229,Miss Sporty Hot Spot Stock POG,Miss Sporty SS Cosmetics      ,1,-1,3,1,20151223,255,1,6819,10967, 
;8890800,451700,20151017,20160110,BSunOld                       ,Sun Preparations              ,1,100028343,3,255,20151223,1,1,2,8343, 
99980800,20477,20160120,21991231,Dental Mid GL                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
253=0800,236951,20150824,21991231,Child Health 2                ,Childrens Health              ,2,100020022,3,1,20151223,1,1,2,22, 
681=0800,506605,20150615,21991231,Wipes 3                       ,Wipes                         ,3,100020006,3,1,20151223,1,1,2,6, 
6:4<0800,546,20150824,21991231,BtyAccs6                      ,Beauty Accessories            ,6,100028660,3,1,20151223,255,1,2,8660, 
08:40800,307543,20160120,21991231,0000307543                    ,Maybelline SS Cosmetics       ,1,-1,3,255,20151223,1,1,6819,10967, 
699:0800,498998,20151125,20151229,BBEBFSDU15                    ,BFSDUs                        ,1,168197072,3,1,20151223,255,1,6819,7072, 
6<900800,307543,20151230,20160119,0000307543                    ,Maybelline SS Cosmetics       ,1,-1,3,255,20151223,2,1,6819,10967, 
50:10800,461198,20160106,21991231,Maybelline R&R 3 Mod          ,Maybelline                    ,3,100020027,3,255,20151223,1,1,2,27, 
7950800,491067,20151125,20151229,0000491067                    ,Toiletries SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
239>0800,491144,20151209,20151229,0000491144                    ,Healthcare SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
65:00800,486314,20160120,21991231,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,1,1,6819,7072, 
17:=0800,471003,20160106,20160119,No7HiddenGems2                ,No7 Counter Unit              ,1,-1,3,255,20151223,1,1,6819,10967, 
7;110800,414597,20150518,21991231,FNS1                          ,Healthy Food                  ,1,100020021,3,1,20151223,1,1,2,21, 
02:70800,412599,20160203,21991231,0000412599                    ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
24500800,6559,20150916,21991231,GCD                           ,Gift Card                     ,1,168207524,3,1,20151223,1,1,6820,7524, 
2;8?0800,394035,20151230,20160119,MG                            ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
;4:60800,307503,20160120,21991231,#BarryM Hot Spot Stock POG    ,Barry M                       ,1,-1,3,255,20151223,1,1,6819,10967, 
45000800,522027,20150921,21991231,LExc17                        ,Ladies Exclusives             ,17,100029642,3,1,20151223,255,1,2,9642, 
:=000800,518721,20150921,21991231,Herit4                        ,Ladies Heritage               ,4,100029642,3,1,20151223,255,1,2,9642, 
<4:60800,307511,20160120,21991231,Bourjois Cosmetics Hot Spot LG,Bourjois SS Cosmetics         ,1,-1,3,255,20151223,1,1,6819,10967, 
32150700,4361,20140305,21991231,Prem Greet 1                  ,Premium Greetings             ,1,100020004,3,1,20151223,1,1,2,4, 
6?880800,390642,20151017,20160110,SeaComp1                      ,EB Summer Composite           ,1,100028343,3,255,20151223,1,1,2,8343, 
;79=0800,96309,20160120,21991231,Skin 1 Mid GL                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
65:10800,301331,20151209,20160105,FragSS1                       ,Ladies Fine Fragrance         ,1,-1,3,1,20151223,1,1,6819,10681, 
>:;:0800,147094,20160106,21991231,P.Club 1                      ,Parenting Club                ,1,100020006,3,255,20151223,1,1,2,6, 
>5::0800,209021,20151230,20160119,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,2,1,6819,7072, 
74310700,465974,20140514,21991231,0000465974                    ,BFSDU's                       ,1,-1,3,1,20151223,1,1,6819,10967, 
3:890100,12757,20060130,21991231,Kodak Kiosk Slimline 1.0Z     ,Kodak Kiosk                   ,1,100020025,3,1,20151223,1,1,2,25, 
7990800,21139,20151125,20151229,Mens Mid                      ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
;09>0800,461100,20160120,21991231,Bourjois R&R 2 Mod            ,Bourjois                      ,2,100020027,3,255,20151223,1,1,2,27, 
=<950800,491066,20151125,20151229,0000491066                    ,Toiletries SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
069>0800,252309,20151209,20151229,H1N1FSDU1 1                   ,BFSDUs                        ,1,168197072,3,1,20151223,255,1,6819,7072, 
:2950800,213646,20151125,20151229,Dent3                         ,Mid Gondola                   ,1,168190000,2,1,20151223,255,1,6819,0, 
6=:10800,329344,20151209,20160105,frgunit1                      ,Tod                           ,2,-1,3,1,20151223,1,1,6819,10681, 
=;80800,491146,20151230,20160202,3WayHCGE2C                    ,Healthcare SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
0=6:0800,11733,20150907,20160103,MassFrag2                     ,Mass Fragrance                ,2,100020015,3,1,20151223,255,1,2,15, 
:0980800,491062,20160120,21991231,3WayTGE6C                     ,Toiletries SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
029<0800,98763,20160120,21991231,Toil1 FSDU                    ,Toiletries SP FSDU            ,1,168197081,3,255,20151223,1,1,6819,7081, 
77;30800,491163,20160106,20160202,0000491163                    ,Photo SP G End                ,1,168197090,3,255,20151223,1,1,6819,7090, 
:=980800,491045,20160120,21991231,3WayTGE4C                     ,Toiletries SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
83:30800,301923,20160106,21991231,TOD4BACK                      ,Tod                           ,1,-1,3,255,20151223,1,1,6819,10681, 
85:<0800,96312,20151230,20160119,Dep Mid                       ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
8=:?0800,491050,20160120,21991231,0000491050                    ,Toiletries SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
33950800,96312,20151125,20151229,Dep Mid                       ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
=1:<0800,491060,20151230,20160119,0000491060                    ,Toiletries SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
;5:=0800,301331,20160203,21991231,FragSS1                       ,Ladies Fine Fragrance         ,1,-1,3,255,20151223,1,1,6819,10681, 
2;340700,268405,20140428,21991231,Maybelline 3mod R&R           ,Maybelline SS Cosmetics       ,1,100020027,3,1,20151223,1,1,2,27, 
399:0800,21429,20151125,20151229,BFSDU                         ,BFSDUs                        ,1,168197072,3,1,20151223,255,1,6819,7072, 
<1:60800,307568,20160120,21991231,Rimmel Cosmetics Hot Spot LGE ,Rimmel SS Cosmetics           ,1,-1,3,255,20151223,1,1,6819,10967, 
87360800,6585,20150710,21991231,NLab Photo                    ,Photolab Consumables          ,1,168207527,3,1,20151223,1,1,6820,7527, 
>>9;0800,490953,20160120,21991231,3WaySSGE3R                    ,Sun SP G End                  ,1,168197090,3,255,20151223,1,1,6819,7090, 
8::<0800,363602,20151230,20160119,Colours Mid                   ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
:0950800,20474,20151125,20151229,Deods mid                     ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
5=9<0800,20479,20160120,21991231,Femc mid                      ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
=9930800,444446,20160120,21991231,Sun Preps Mid                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
<9::0800,491214,20151230,20160119,3WaySSGE3L                    ,Sun SP G End                  ,1,168197090,3,255,20151223,1,1,6819,7090, 
4;390800,521912,20151125,21991231,FlexSp2                       ,Christmas Flexible Space      ,1,100029642,3,1,20151223,255,1,2,9642, 
>91=0800,137747,20150824,21991231,FirstAid4G                    ,First Aid                     ,4,100020008,3,1,20151223,1,1,2,8, 
7;3<0800,122305,20150921,21991231,ElecHair3                     ,Electrical Hair               ,3,100020012,3,1,20151223,1,1,2,12, 
1;930800,301914,20151111,20160105,TOD3FRONT                     ,Tod                           ,1,-1,3,1,20151223,1,1,6819,10681, 
45960800,491050,20151125,20151229,3WayTGE5L                     ,Toiletries SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
77760800,257993,20151102,21991231,Dental 10                     ,Dental                        ,10,100020013,3,1,20151223,1,1,2,13, 
18930800,301913,20151111,20160105,TOD2BACK                      ,Tod                           ,1,-1,3,1,20151223,1,1,6819,10681, 
?:30800,307528,20160120,21991231,0000307528                    ,L Oreal SS Cos                ,1,-1,3,255,20151223,1,1,6819,10967, 
93;70800,4075,20160120,21991231,IQM4+W                        ,IQM                           ,5,-1,3,255,20151223,1,1,6819,10071, 
91880800,440643,20160111,21991231,SeasMinis3                    ,Seasonal Miniatures           ,3,100028343,3,255,20151223,1,1,2,8343, 
>4990800,96310,20151125,20151229,Skin 1 Mid GL                 ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
8?:60800,491143,20160203,21991231,0000491143                    ,Healthcare SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
;6:70800,13011,20160203,21991231,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,1,1,6819,7072, 
:7920800,307558,20151230,20160119,Natural Collection Cosmetics H,Natural Collection SS Cosmetic,1,-1,3,255,20151223,2,1,6819,10967, 
1=9:0800,10048,20151125,20151229,Cos End 3                     ,Cosmetics SP G End            ,1,168197072,3,1,20151223,255,1,6819,7072, 
>09=0800,491139,20151209,20151229,0000491139                    ,Healthcare SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
520?0700,268388,20140416,21991231,17 3Mod R&R                   ,17 SS Cosmetics               ,1,100020027,3,1,20151223,1,1,2,27, 
<7840800,307513,20151125,20151229,Collection 2000 Cosmetics Hot ,Collection 2000 Cosmetics     ,1,-1,3,1,20151223,255,1,6819,10967, 
=7:40800,22605,20160203,21991231,Mass Frag Mid                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
96840700,10068,20141231,21991231,3WayPGE1                      ,Photo SP G End                ,1,168197090,3,1,20151223,1,1,6819,7090, 
43620800,442824,20151028,20151229,No7 BFSDU1                    ,BFSDUs                        ,1,-1,3,1,20151223,255,1,6819,10967, 
68910800,156038,20160104,21991231,LFFCab8                       ,Ladies Fine Fragrance Cabinet ,8,100020015,3,255,20151223,1,1,2,15, 
>:80800,491036,20151230,20160119,0000491036                    ,Toiletries SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
6;;80800,23768,20151230,20160202,Vits mid                      ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
21;90800,20219,20151230,20160202,C&C MID                       ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
34:90800,491033,20151230,20160119,0000491033                    ,Toiletries SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
619<0800,48021,20160104,21991231,Walkers2                      ,Walkers                       ,1,100020021,3,255,20151223,1,1,2,21, 
4<:60800,491151,20160203,21991231,0000491151                    ,Healthcare SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
<<3:0800,519826,20150921,21991231,WSunP1                        ,Winter Sun Protection         ,1,100028343,3,1,20151223,255,1,2,8343, 
828=0800,354451,20151017,20160110,SunOld                        ,Basic Sun Preparations        ,1,100028343,3,255,20151223,1,1,2,8343, 
47120800,137454,20150727,21991231,Healthchk1W                   ,Healthchecks                  ,1,100020008,3,1,20151223,1,1,2,8, 
71950800,367383,20151125,20151229,Wall Lectern                  ,No7 SP Lectern                ,1,-1,3,1,20151223,255,1,6819,10967, 
<>:<0800,491069,20151230,20160119,0000491069                    ,Toiletries SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
9>7:0800,521916,20151125,20160105,FlexSp6                       ,Christmas Flexible Space      ,1,100029642,3,1,20151223,255,1,2,9642, 
71:20800,491214,20160120,21991231,3WaySSGE3L                    ,Sun SP G End                  ,1,168197090,3,255,20151223,1,1,6819,7090, 
76:50800,554260,20160111,21991231,LPComp2                       ,Little People Composite       ,2,100028622,3,255,20151223,1,1,2,8622, 
11960800,21714,20151125,20151229,Tiss Mid GL                   ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
<=:30800,20224,20160203,21991231,Vit2 mid                      ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
07710800,491061,20151028,20151229,0000491061                    ,Toiletries SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
6=9:0800,96309,20151125,20151229,Skin 1 Mid GL                 ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
41490300,215361,20090209,21991231,Ad Card                       ,Impulse Side Panel            ,1,168199456,3,1,20151223,1,1,6819,9456, 
8?9;0800,442824,20160120,21991231,No7 BFSDU1                    ,BFSDUs                        ,1,-1,3,255,20151223,1,1,6819,10967, 
8400800,464985,20150907,20160103,Drinks 2K                     ,Drinks                        ,2,100020021,3,1,20151223,255,1,2,21, 
2=;90800,491152,20151230,20160202,3WayHCGE3C                    ,Healthcare SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
3;840700,10038,20141231,21991231,3WayTGE7                      ,Toiletries SP G End           ,1,168197090,3,1,20151223,1,1,6819,7090, 
:4390800,461198,20150819,20160105,Maybelline R&R 3 Mod          ,Maybelline                    ,3,100020027,3,1,20151223,1,1,2,27, 
1990800,413599,20151125,20151229,Prem Skin Mid                 ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
8:00800,491130,20160203,21991231,3WayHCSPEnd4L                 ,Healthcare SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
933=0000,12945,20040310,21991231,D&P Pricing Panels 2.0I       ,D&P Pricing Panels            ,1,100020025,3,1,20151223,1,1,2,25, 
46?>0700,492576,20150527,21991231,HBFSDU8                       ,BFSDUs                        ,1,168197072,3,1,20151223,1,1,6819,7072, 
183:0800,235486,20150921,21991231,SeasonalHealth4               ,Seasonal Healthcare           ,4,100020008,3,1,20151223,1,1,2,8, 
>79>0800,307533,20160120,21991231,#Max Factor Cosmetics Hot Spot,Max Factor Cosmetics          ,1,-1,3,255,20151223,1,1,6819,10967, 
10;90800,491132,20151230,20160202,3WayHCSPEnd4C                 ,Healthcare SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
3>9=0800,444516,20160120,21991231,SunSelTan1                    ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
539>0800,19444,20160120,21991231,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,1,1,6819,7072, 
23<40500,224244,20120512,21991231,Bts.com                       ,BootsCom FSDU                 ,1,100028642,3,1,20151223,3,1,2,8642, 
=<9=0800,491161,20151209,20160105,0000491161                    ,Photo SP G End                ,1,168197090,3,1,20151223,1,1,6819,7090, 
2<9?0800,173078,20160203,21991231,Hlth Bkwll Mid                ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
<4530800,461179,20150930,20160119,Rimmel R&R 4 Mod              ,Rimmel                        ,4,100020027,3,1,20151223,1,1,2,27, 
<8:<0800,491067,20151230,20160119,0000491067                    ,Toiletries SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
<>950800,498284,20151125,20151229,BFSDU                         ,BFSDUs                        ,1,168197072,3,1,20151223,255,1,6819,7072, 
16:=0800,471002,20160106,20160119,No7HiddenGems1                ,No7 Counter Unit              ,1,-1,3,255,20151223,1,1,6819,10967, 
1;:=0800,367383,20160106,20160119,Wall Lectern                  ,No7 SP Lectern                ,1,-1,3,255,20151223,1,1,6819,10967, 
:19>0800,491070,20160120,21991231,0000491070                    ,Toiletries SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
59<10800,354451,20160111,21991231,SunOld                        ,Basic Sun Preparations        ,1,100028343,3,255,20151223,1,1,2,8343, 
4850800,31686,20160111,21991231,IndBathing12                  ,Indulgent Body Care And Gift  ,12,100020034,3,255,20151223,1,1,2,34, 
569:0800,209019,20151125,20151229,BFSDU                         ,BFSDUs                        ,1,168197072,3,1,20151223,255,1,6819,7072, 
5<:90800,12978,20151230,20160119,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,2,1,6819,7072, 
=9=0800,404708,20151209,20151229,SmokeCess200                  ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
;6:>0800,444445,20151230,20160119,SumSunPrep1                   ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
3?060700,262670,20140416,21991231,Nat Col R&R 2Mod G            ,Natural Collection SS Cosmetic,1,100020027,3,1,20151223,1,1,2,27, 
346;0800,367430,20151019,20160110,S/Tan1                        ,Self Tan In Skincare          ,1,100028343,3,1,20151223,1,1,2,8343, 
=9<0800,301913,20160106,20160202,TOD2BACK                      ,Tod                           ,1,-1,3,255,20151223,1,1,6819,10681, 
;;:90800,10048,20151230,20160119,Cos End 3                     ,Cosmetics SP G End            ,1,168197072,3,255,20151223,2,1,6819,7072, 
04880800,349219,20151017,20160110,Sunglasses 7                  ,Sunglasses                    ,7,100028343,3,255,20151223,1,1,2,8343, 
79970800,13112,20151125,20151229,BFSDU                         ,BFSDUs                        ,1,168197072,3,1,20151223,255,1,6819,7072, 
;7:90800,24417,20151230,20160119,Mens Mid                      ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
55870800,307511,20151125,20151229,Bourjois Cosmetics Hot Spot LG,Bourjois SS Cosmetics         ,1,-1,3,1,20151223,255,1,6819,10967, 
3?490300,215359,20090209,21991231,Ad Card                       ,Impulse Side Panel            ,1,168199456,3,1,20151223,1,1,6819,9456, 
=;000800,518743,20150921,21991231,Teen5                         ,Teen And Girls                ,5,100029642,3,1,20151223,255,1,2,9642, 
5690800,511994,20151019,21991231,ExpertSkin4                   ,Expert Skincare               ,4,100028243,3,1,20151223,1,1,2,8243, 
;96<0800,274443,20150905,21991231,RapidTA                       ,Tills                         ,1,168199456,3,2,20151223,2,1,6819,9456, 
9<9>0800,444445,20160120,21991231,SumSunPrep1                   ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
:5:90800,413576,20151230,20160119,Prem Skin Mid                 ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
64:=0800,98745,20160106,20160119,BabyEnd1                      ,Baby SP G End                 ,1,168197090,3,255,20151223,1,1,6819,7090, 
>=520800,137668,20151102,21991231,PMeds 8                       ,Pharmacy Medicines            ,8,100020022,3,1,20151223,255,1,2,22, 
499:0800,209021,20151125,20151229,BFSDU                         ,BFSDUs                        ,1,168197072,3,1,20151223,255,1,6819,7072, 
43970800,363635,20151125,20151229,RazBlade200                   ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
729=0800,20220,20151209,20151229,Eye mid                       ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
=>9=0800,491163,20151209,20160105,0000491163                    ,Photo SP G End                ,1,168197090,3,1,20151223,1,1,6819,7090, 
;::10800,103948,20151226,20160105,Snack Mid                     ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
604>0700,280595,20150921,21991231,GCEND1                        ,Gift Card Mall                ,1,100020004,3,1,20151223,1,1,2,4, 
5>930800,523534,20151204,21991231,LadyGEd1                      ,Christmas Gift Ends           ,1,100029642,3,1,20151223,255,1,2,9642, 
2=9:0800,229302,20160208,21991231,Hair Colours 11               ,Hair Colours                  ,11,100020019,3,255,20151223,1,1,2,19, 
8;9;0800,369161,20160203,21991231,Branded FSDU                  ,BFSDUs                        ,1,-1,3,255,20151223,1,1,6819,10967, 
:1:70800,3992,20151123,21991231,BabySCW4                      ,Baby Skincare And Cotton Wool ,4,100020006,3,1,20151223,1,1,2,6, 
55090700,461141,20140217,21991231,Natural Collection R&R 2 Mod  ,Natural Collection            ,2,100020027,3,1,20151223,1,1,2,27, 
8:9?0800,442824,20151230,20160119,No7 BFSDU1                    ,BFSDUs                        ,1,-1,3,255,20151223,2,1,6819,10967, 
50020800,523571,20151111,21991231,FlexSp5                       ,Christmas Flexible Space      ,2,100029642,3,1,20151223,255,1,2,9642, 
:67=0700,98741,20141231,21991231,TE 1                          ,Toiletries SP G End           ,1,168197090,3,1,20151223,1,1,6819,7090, 
33:70800,12999,20160203,21991231,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,1,1,6819,7072, 
03:60800,274841,20160203,21991231,Batmid1                       ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
14:;0800,13010,20151230,20160119,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,2,1,6819,7072, 
<250800,450846,20150907,21991231,PhtCapt2                      ,Photo Capture                 ,2,100020025,3,1,20151223,1,1,2,25, 
259?0800,209006,20151230,20160119,IQMFSDU2                      ,IQM FSDU                      ,1,168197081,3,255,20151223,2,1,6819,7081, 
=>470800,461110,20150930,20160119,Collection R&R 1 Mod          ,Collection                    ,1,100020027,3,1,20151223,1,1,2,27, 
=800800,201169,20160208,21991231,MassSham&Cond9                ,Mass Shampoo And Conditioners ,9,100020019,3,255,20151223,1,1,2,19, 
82:<0800,498284,20151230,20160119,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,2,1,6819,7072, 
?:80800,491072,20151230,20160119,0000491072                    ,Toiletries SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
6610800,521917,20151014,21991231,FlexSp7                       ,Christmas Flexible Space      ,1,100029642,3,1,20151223,255,1,2,9642, 
8?7?0800,122308,20151011,21991231,ElecH&F1                      ,Electrical Health And Fitness ,1,100020012,3,1,20151223,1,1,2,12, 
569<0800,98743,20160120,21991231,ToilEnd2                      ,Toiletries SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
<:850800,348268,20151017,20160110,HH2G                          ,Holiday Healthcare            ,1,100028343,3,255,20151223,1,1,2,8343, 
44970800,491070,20151125,20151229,0000491070                    ,Toiletries SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
6:540800,310523,20150824,21991231,Eyecare 3                     ,Eyecare                       ,3,100020008,3,1,20151223,1,1,2,8, 
<:460800,3950,20150907,20160124,BFood9                        ,Baby Food                     ,9,100020006,3,1,20151223,1,1,2,6, 
3>9>0800,12973,20160120,21991231,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,1,1,6819,7072, 
3=490300,215357,20090209,21991231,Ad Card                       ,Impulse Side Panel            ,1,168199456,3,1,20151223,1,1,6819,9456, 
920=0700,268397,20140416,21991231,Revlon R&R 2mod               ,Revlon SS Cosmetics           ,1,100020027,3,1,20151223,1,1,2,27, 
5>:00800,368679,20151230,20160119,No7 7J Wall                   ,No7 Cos                       ,7,100020024,3,255,20151223,2,1,2,24, 
68;80800,20224,20151230,20160202,Vit2 mid                      ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
8:020800,518973,20150921,21991231,LadAccs2                      ,Ladies Accessories            ,2,100029642,3,1,20151223,255,1,2,9642, 
0<:40800,307556,20160120,21991231,Essie Hot Spot Stock POG      ,Essie SS Cosmetics            ,1,-1,3,255,20151223,1,1,6819,10967, 
;8900800,307560,20151230,20160119,Revlon Cosmetics Hot Spot Stoc,Revlon SS Cosmetics           ,1,-1,3,255,20151223,2,1,6819,10967, 
=>:?0800,10080,20160203,21991231,EBtyEnd1                      ,EB SP G End                   ,1,168197090,3,255,20151223,1,1,6819,7090, 
91;70800,256674,20160120,21991231,IQM3DIS/W                     ,IQM                           ,4,-1,3,255,20151223,1,1,6819,10071, 
:;840800,329342,20151218,20151224,frgunit1                      ,Tod                           ,2,-1,3,1,20151223,255,1,6819,10681, 
49950800,96313,20151125,20151229,HBD 1 Mid GL                  ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
51;90800,258719,20151230,20160202,Dig Care Mid                  ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
24<40500,224245,20120512,21991231,Bts.com                       ,BootsCom FSDU                 ,1,100028642,3,1,20151223,255,1,2,8642, 
;1:<0800,20479,20151230,20160119,Femcare Mid GL                ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
49390800,521932,20151125,21991231,FlexSp20                      ,Christmas Flexible Space      ,1,100029642,3,1,20151223,255,1,2,9642, 
5950800,20378,20151125,20151229,Hair & Styling mid            ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
05980800,491132,20160203,21991231,3WayHCSPEnd4C                 ,Healthcare SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
<69=0800,21140,20160120,21991231,Mens Mid                      ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
9:9?0800,367383,20151230,20160105,Wall Lectern                  ,No7 SP Lectern                ,1,-1,3,255,20151223,2,1,6819,10967, 
33??0700,519120,20150921,21991231,ToyComp1                      ,Little People Composite       ,1,100029642,3,1,20151223,255,1,2,9642, 
759=0800,173078,20151209,20151229,Hlth Bkwll Mid                ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
=5;90500,6587,20120416,21991231,StampsUK                      ,Stamps                        ,1,168207526,3,1,20151223,1,1,6820,7526, 
077;0700,202297,20150105,21991231,EsyChill                      ,Drinks                        ,1,100020021,3,1,20151223,1,1,2,21, 
7>490800,492474,20150902,21991231,Tower1                        ,Ladies Gift                   ,1,-1,3,255,20151223,1,1,6819,10681, 
:7;:0800,301913,20160203,21991231,TOD2BACK                      ,Tod                           ,1,-1,3,255,20151223,1,1,6819,10681, 
