SRMOD.KEY$,SRMOD.DESCRIPTOR$,SRMOD.ARRAY$,SRMOD.SHELF.COUNT%,SRMOD.ITEM.COUNT%,SRMOD.FILLER$
=>:208000100,MODULE 0001                   ,010134761902000600010163566102000600010157973502000900010116176804000?00020232151104001000020226015504001000020222520004001000020125040304000>00020150805002000500030243486804001000030243486904001000030176805503000=0004043017360:002400040216259906001400050124361903000:00050159345803000;00050147586602000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,17,                  
<69=08000100,MODULE 0001                   ,010247732302000800010236211602000800010236211802000800010159408502000600010140753002000500010150043302000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,6,                  
280807000600,MODULE 0006                   ,040140790201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
4<:608000100,MODULE 0001                   ,020210402003000:00020210402103000:00030478678106001400040250084402000800040256912002000400050459702004000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,6,                  
730208000200,MODULE 0002                   ,010160081202000400010160081302000400010160081402000400010163424101000300010160081702000400010163429401000300020163424202000400020163424302000400020263228902000600020263229003000<00030263229102000600030260060402000800040263228704000>00040263228802000600050163423402000400050160363001000300050163423501000300050160363101000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,18,                  
544708000303,MODULE 0003                   ,010160690002000400010160690102000400010160690202000400010160690302000400010160690402000400010160690502000400010161331401000300010161331501000300010161331601000300010161331901000300010161745902000600010161746002000600010161746202000600010161746302000600010161746402000600010161746602000600010161747902000800010161748002000400010162872302000600010162872402000600010162872502000600010162872602000600010162872902000600010162873202000600010162909202000400010162909302000400010162909502000400010162909602000400010162909702000400010162910102000400010162910202000400010162910302000400010163382204001000010163382302000800010163382403000:00010163382503000:00010163382602000500010163382702000500010163382802000500010163382902000500010163383702000800010175452702000800010175452902000400010175453002000800010175453102000400010175453202000800010175453302000400010175453402000800010175453502000400010175453602000400,1,210,                  
7=4608000102,MODULE 0001                   ,010116510802000500010116511202000500010118489002000500010118490102000500010118962202000500010118962302000500010119160002000500010119160402000500010135870602000500010135886602000500010135900002000500010135900102000500010135918602000500010137006802000500010153172902000500010153174002000500010153174202000500010160433502000500010160433602000500010160433702000500010160434102000500010160434202000500010160435502000500010160440702000500010160441102000500010161252302000500010161252402000500010161252502000500010161828402000500010161828502000500010161828602000500010161828702000500010161828802000500010161828902000500010161829002000500010161829202000500010161959402000500010162240702000500010162240802000500010162240902000500010162241002000500010162241102000500010162241202000500010162241402000500010162425802000500010162425902000500010162426102000500010162426202000500010162426302000500010162426402000500,1,163,                  
>>9;08000100,MODULE 0001                   ,010329193803000600010322777203000600020229192202000400020227156102000400020210609602000400030363023803000600030363023703000600040347808603000600040347809003000600050347808403000600050347808903000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,11,                  
5>:008000708,MODULE 0007                   ,010161278704001000010161278804001000010161751502000600010162026002000600010162282202000600010162440302000600010162440402000600010162440602000600010162946403000:00010162946503000:00010162968602000500010162968702000500010162968802000500010163444306001400010163444403000:00010163444503000:00010163444603000:00010163444803000:00010163444903000:00010163445103000:00010177743902000600010178476501000200010178677002000700010178677102000700010178677202000700010178677302000700010178677402000600010178677502000600010178677706001500010178677806001500010178679002000800010178679102000800010178679202000800010178679702000800010178680002000800010178680102000800010178680202000800010178680802000800010178681002000800010178681102000800010178681302000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,441,                  
095108000500,MODULE 0005                   ,010118479501000300010118478402000400010218478602000800010118480102000400010118479901000200010118479001000200010118481102000400010118479401000200010118479802000500020275165903000:00020175166202000500020147809702000500020175168402000500020175168701000100020175168502000500020275168303000:00020175168902000500020115579102000500020115579202000500020115579602000500020115579402000500030178274302000500030178274502000500030178276302000700030178276002000800030178274601000200030178276202000500030151296402000500030161751402000500030177700101000200030110526102000500030110526202000500030210610703000:00040110534602000600040110534702000600040110534802000800040110534902000800040110535002000800040210530704000>00040110530802000700040110531202000700040110531002000700040110530902000900050110531702000700050110531802000700050110629902000600050110531902000700050110532002000700050110532602000700050110532802000700,6,60,                  
