SRMOD.KEY$,SRMOD.DESCRIPTOR$,SRMOD.ARRAY$,SRMOD.SHELF.COUNT%,SRMOD.ITEM.COUNT%,SRMOD.FILLER$
1<9308000100,MODULE 0001                   ,010363609903000<00020263610402000600030163610001000200030163609601000300040163610001000200040163609601000300050263610202000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,7,                  
:59308000101,MODULE 0001                   ,060118286002000900060118286102000900060110359703000<00060132844602000600060157962402000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6,55,                  
5>:008000702,MODULE 0007                   ,010133089302000700010134348802000400010134350102000400010134490104001000010139540701000300010139542301000300010139546902000500010139680802000400010140101702000600010140904802000600010140909302000800010140909902000500010140910102000500010140918903000:00010140919002000600010140962602000500010140986604001000010141488402000600010141729601000300010141729802000500010141730604001000010141760602000500010141760801000300010141800402000800010141800502000500010142457601000300010142720902000600010142721102000600010142721502000600010142721602000600010142722102000600010142722302000600010142722402000600010142722802000600010142723202000400010142723502000400010142723702000400010142724302000400010142724402000400010142724702000400010142724902000400010142725002000500010142725302000500010142725402000500010142725502000500010142725601000300010142725701000300010142726001000300010142726101000300010142726201000300,1,441,                  
>?7=08000700,MODULE 0007                   ,020163379202000600020163773802000700020263379804000>00020163379502000500020163379302000600020163379602000400020163379401000200020163380002000700020163379902000700020263341107001800030363340309001>00030263380903000:00030263380803000:00030363342109001>0003036334040:002400030263340506001400030163341403000<0004016338030200060004016338040200060004016338010200060004036338050:002400040263380606001600040263380705001200040163341203000<00040163340702000800040163340602000600040263340805001200040163341003000;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3,28,                  
=8008000400,MODULE 0004                   ,020161849503000:00020161849802000900020164914502000400020161849903000:00020164914803000:00020164915002000900020164914902000900020164914203000:00020164914402000900030118737603000:00030118711302000900030164914602000400030163848703000:00030163848802000900030164914003000<00030118738203000:00030118712102000900040118737803000:00040118711602000900040118712703000<00040164914702000400040118737003000:00040118711902000900040118712203000<00040162762002000400050162761502000700050162761702000700050162762402000700050162762502000700050162762102000700050162762202000700050162762303000;00050162761802000700050162761902000700050162814402000700050162814502000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,36,                  
<04608000101,MODULE 0001                   ,010135474202000400010135474302000400010135862002000500010142054404000>00010145390703000<00010145453002000500010149951104000>00010153067002000500010159059702000700010159061002000400010159061102000400010159061202000800010160715402000400010160715502000400010160715802000700010160715902000700010160716203000:00010160716402000500010160716502000500010160716702000500010160716802000500010160716902000500010160717002000500010160880501000300010160880601000300010160880701000300010160880801000300010160880901000300010160881001000300010161283504000>00010161283704001000010161283802000400010161283902000400010161284002000400010161284102000400010161284202000400010161284402000500010161284502000500010161284602000500010162265702000500010162265802000500010162265902000500010162266002000500010162266102000500010162266202000500010162266302000500010162266402000500010162266502000500010162266602000500010162266702000500,1,148,                  
=36;08000200,MODULE 0002                   ,010154769702000600010153481202000600010153481402000600010153481502000600010110654802000900010110654702000900010153486102000600010151544702000600020110654302000400020110654402000400020110654601000200020156696502000400020156696602000400030156696702000400030156696802000400030156697001000200030139293401000200040112191901000200040112172401000200040263197905001200040163197802000400040156693301000200050112916101000100050156693201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,24,                  
450008000400,MODULE 0004                   ,010262299703000<00010162299902000400010162298802000900020462298604000800030162299001000300030362298703000600040162298901000300040162299102000400040162298901000300050162299401000100050162299201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,11,                  
;6:<08000100,MODULE 0001                   ,010160681402000600010160681102000600010160681802000600010160681602000600010134221902000600010134920402000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,6,                  
450008000600,MODULE 0006                   ,010162300002000600010162298402000800010162300002000600020462298604000800030362298703000600030162299001000300040162298503000=00040162299102000400040162298503000=00050262299002000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,10,                  
<8::08000100,MODULE 0001                   ,010250925804001000010248636203000:00010248636503000:00020250927704001000020233546003000:00020254824803000:00030111759702000800030154774202000800030134613702000800030139933402000800040147991802000600040147991902000600040247991103000<00050163440401000300050163440601000300050139674402000400050124228302000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,17,                  
;9;108000100,MODULE 0001                   ,010265266804000>00020265266904000>00030265231204001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3,3,                  
0?9108000100,MODULE 0001                   ,010162687701000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
118:08000400,MODULE 0004                   ,020233298407001800020160628603000;00020260629006001600020260628806001600020160628703000;00020115554503000<00020215554407001800020115554203000<00020159782603000<00020159782503000<00030276735503000<0003037673950;002700030276739703000<00030218251203000<00040250371602000800040219142102000600050237570606001400050115558702000800050229025804001000050237573606001400050237573706001400050137570903000:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,22,                  
6=9:08000100,MODULE 0001                   ,010117329102000600010160759501000300010160759601000300010153800302000700010160759801000300010160759701000300010160708202000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,7,                  
463<08000100,MODULE 0001                   ,0201509661020005000201288090010002000201288071020005000201288066020004000301533097020005000301533123020005000301533089020005000301782137020005000601533115020004000601172538010003000601160376010003000601157419010003000701185591010001000701509821020005000701367633020005000701565272010002000:01633844020004000:01504180020004000:01633888020004000:01509816020006000:01509642020007000;01509653010003000;01509647020007000;01633869010003000;0163384602000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6,25,                  
:=0008000200,MODULE 0002                   ,010162670302000600010162670702000700010162670302000600020262670403000:00020262670204001000020162670802000500030162670602000400030262670902000800040163482802000400040263483203000<00040163482902000800050163483102000500050263483003000<00050163483401000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,14,                  
598908000100,MODULE 0001                   ,010110240202000600010110240302000600010110240402000600010113009302000600010113009402000600010113009802000600010115344202000600010115344602000600010116332603000<00010116335502000600010116335603000<00010116335802000600010117774702000600010119195702000600010119195902000600010119827502000600010130885202000600010135405402000600010137764803000<00010137765602000600010138758102000600010138760702000600010138770802000600010139557402000600010139762702000600010139841302000600010139842302000600010139952802000600010140283302000600010142935802000600010143968903000<00010143969202000600010143978702000600010143979002000600010143993802000600010144011102000600010144011202000600010144011302000600010144012302000600010144012402000600010144027102000600010144055602000600010145217602000600010145240702000600010145255202000600010145256202000600010145480002000600010145480302000600010145483302000600010145483602000600,1,96,                  
929>08000100,MODULE 0001                   ,010164990502000800010164990602000800010164990702000800010164990802000800020164990502000800020164990602000800020264990704001000020264990804001000030261265202000800030261265302000800030261265404001000040260910003000<00040260910103000<00040133611502000400040119006702000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,15,                  
115?08000;00,MODULE 0011                   ,010217266803000:00010117265602000400010217267102000600010117266902000400010117266002000900010217267402000800010217267502000600020117266302000800020160634702000500020117266402000500020117265002000600020117265402000500020117265302000500020117266202000500020117265702000600020117265502000700020117265902000700020117265802000700030151978502000500030125223502000600030151974202000700030151974802000700030151977102000700030178280302000400030164241502000800030120950802000700030164241902000800030151991202000700030151990802000700030151987902000800030117371502000600030160979902000500040160980102000500040158030002000900040119899305001200040161905103000<00040233063504001000040233064204001000040125238602000800040140255402000700050117403802000600050115996602000500050160990202000400050162693402000600060140834102000600060140903101000300060140834002000800060140088903000=00000000000000000000000000000000000000,6,48,                  
26?08000702,MODULE 0007                   ,010134348802000400010134350102000400010134490104001000010139540701000300010139542301000300010139546902000500010139680802000400010140101702000600010140904802000600010140909302000800010140909902000500010140910102000500010140910702000400010140918903000:00010140919002000600010140962602000500010140986604001000010141488402000600010141729601000300010141729802000500010141730604001000010141760602000500010141760801000300010141800402000800010141800502000500010142457601000300010142720902000600010142721102000600010142721502000600010142721602000600010142722102000600010142722302000600010142722402000600010142722802000600010142723202000400010142723502000400010142723702000400010142724302000400010142724402000400010142724702000400010142724902000400010142725002000500010142725302000500010142725402000500010142725502000500010142725601000300010142725701000300010142726001000300010142726101000300010142726201000300,1,441,                  
8:9?08000100,MODULE 0001                   ,010<1763340>003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
95>607000100,MODULE 0001                   ,010140790201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
90?07000100,MODULE 0001                   ,010140790201000100010140790201000100010140790201000100010140790201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,4,                  
453:08000<00,MODULE 0012                   ,010112536902000400010212537002000800010112537102000400020213016102000800020237723102000800020213016202000800030112856402000400030112857602000400030145834402000400030145836102000400030145836502000400040154979102000400040154979001000300040154974201000300040154974301000300040154979302000400050154974501000300050154979202000400050154974402000400050154979501000300060123041102000500060112855502000400060154979401000300060112855402000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6,24,                  
<::608000100,MODULE 0001                   ,010151538402000800010133814202000800010151538502000800010129937902000800010129796102000800010130003402000800010129799502000800010129961402000800010129804602000800010151538702000800010110327902000800010110328802000800010110328202000800010110328002000800010110328302000800010110327702000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,16,                  
25??06000100,MODULE 0001                   ,010140790201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
<:5508000200,MODULE 0002                   ,020276182602000600020215413104001000020115413502000800020115413202000800020115413902000800030163309503000;00030225233902000800030132059101000300030130100703000=00030159162903000;00030159175602000400030127433002000500030124051102000600040176872702000500040176873002000500040176872802000500040176872602000500040177072902000500040177073002000500040177073102000500040124156602000600040159644102000900050160425302000800050153810102000700050153810502000800050176918702000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,26,                  
5;9708000100,MODULE 0001                   ,01076319850<002:00020261970903000<00020261971003000:00020116999402000600020116999502000500030314595604000?00030214599203000:00040314595704000?00040214598403000:00050314594104000?00050214597303000:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,11,                  
<>2608000500,MODULE 0005                   ,010117282802000400010117282601000200010117282301000200010217282502000800010117281502000400010117281401000200010117280801000200010217282202000800020117278702000500020117278602000400020117278502000400020117278802000400020117280502000500020117280402000400020117280302000400020117280602000400020117280702000600030217279103000:00030117279002000400030117278901000200030217278403000:00030117278202000400030117278102000400040119082402000500040119082502000500040119083202000700040119083102000700040119082702000700040119082802000400040119083002000600040119082902000600050219083304000>00050219083402000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,33,                  
867;08000401,MODULE 0004                   ,0;01245814020007000;01413509020007000;01245774020007000;0178717303000:000;0175163202000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7,55,                  
<84508000200,MODULE 0002                   ,1;01604231010001001<01604229010001001=01604238010001001>01604232010001001?0160423401000100210163566102000600210134761902000600210132149502000600210116177402000600210116177802000600210134762102000600210157973502000900210138533102000900210134762802000900220116176804000?00220116176604000?00220123512702000400220157973702000500220128628602000700220156159102000900220156157603000;00220136110203000;00220125744004000>00220128509602000800220159649403000<00230175378702000600230144667102000500230125851402000600230159649302000700230147413604000>00230175378604000?00230130073503000<00230151511203000<00230112760203000=00240163557802000900240163566602000900240120032702000800240120033102000900240134839502000800240142749504000>00240153298302000800240153297904000>00240156166703000<002:01604233010001002;0159345803000;002;0124361903000:002;0159183103000;002;01568091020007002;0139352203000;002;0130173602000900,12,56,                  
3;6108000400,MODULE 0004                   ,010177887802000600010177887902000500010177888002000500010137201802000600010137201902000500010134162502000500010176171202000800020176171002000800020176171102000800020134518202000800020134518302000800020134518402000800020110823802000700020110823902000700020110824102000700030263166904000>00030162950902000600030162951102000500030119639304000?00030119073203000=00030159336202000400040159336102000400040124223002000400040149324702000500040160257602000500040215474803000:00040118543502000500050178243702000500050178243802000500050124532902000700050142476602000600050142476702000500050115747802000500050128114802000700050118404802000900060178004002000900060161340602000900060178004202000900060142242703000:00060116549601000300060156206901000300060149388702000500060176223702000400060176223602000700070156202402000600070133632601000300070162120502000700070131129602000600070131129702000500070151972002000600,7,52,                  
414903000100,MODULE 0001                   ,060140790201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
>2:008000100,MODULE 0001                   ,010110433902000500010110434102000500010110434202000500010110434302000500010110434402000500010110434502000500010110435202000500010112503804000>00010112503902000600010116570302000700010116965002000400010116965402000400010116966402000400010116966802000400010116967502000400010116971102000400010116971302000400010117805202000400010117805302000400010117805402000400010117806002000600010117806102000600010117806502000800010117806802000400010117807002000400010117807404000>00010119192502000700010119192902000700010119193702000500010119193802000700010119194102000700010119194202000700010119890402000400010119890502000400010119890802000600010119891002000700010119891102000700010119891302000700010125793904000>00010125900304000>00010130020903000:00010135471204001000010135471302000800010135471402000800010135473902000800010135474102000400010135474202000400010135474302000400010135862002000500010142054404000>00,1,152,                  
59:608000100,MODULE 0001                   ,010263395102000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
<>2608000400,MODULE 0004                   ,020119728302000500020119728102000500020119728002000500020110619102000400030161920402000700030163360902000700030161251001000200030119728401000200040116381301000200040178436901000200040210619402000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3,11,                  
<:4608000701,MODULE 0007                   ,060133278702000600060133278402000600060121413302000600060121502502000600060161841303000<00070115364902000800070115365102000800070177988802000800070160855402000800070115365303000;00070161841003000=00070161840803000=00070161841103000=00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6,63,                  
<7<08000500,MODULE 0005                   ,010161916701000100030110538802000500030150967101000300030110538602000500030125350002000500040156597002000400040156597701000300040250961902000800040250963302000800060150962102000500060150962302000600060163672601000200060177145802000500060125349202000600060124220202000400060163459502000600060163459601000200070115900302000500070237553703000:00070152257302000400070130030202000500080237507902000800080332484004000?00080222493103000:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6,24,                  
079>08000100,MODULE 0001                   ,010112499302000400010175377702000400010130241402000400010118506702000400010118506602000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,5,                  
<>8408000100,MODULE 0001                   ,010163407901000300010163408001000300010163408701000300010115906901000300010160853601000300010163411001000300010364523203000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,7,                  
>:608000100,MODULE 0001                   ,010264852403000:00020264852403000:00030264852403000:00040264852403000:00050264852403000:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,5,                  
