SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$
26:90800,Toil1 FSDU                                        ,Toiletries FSDU 1 1.0Z Large                                                                        ,               
>2:=0800,frgunit1                                          ,Fragrance Mini Tod 1 1.0Z                                                                           ,               
44950800,Ind Bath Mid                                      ,Indulgent Body Care & Gift 1 Mid Gondola 300mm                                                      ,               
91880800,SeasMinis3                                        ,Seasonal Miniatures 400mm 3.0G Destination GF                                                       ,               
=0:60800,Revlon Cosmetics Hot Spot Stock POG               ,Revlon 1 Cosmetics Hot Spot 400mm                                                                   ,               
:9=30700,ChilBsk1                                          ,Chiller Basket 1 1.0V                                                                               ,               
5:9<0800,Walkers1                                          ,#Walkers 1 1.0Z                                                                                     ,               
:=950800,Dental Mid GL                                     ,Dental 1 Mid Gondola Mainstream                                                                     ,               
10;90800,3WayHCSPEnd4C                                     ,Healthcare End 4 3.0Z Three Way Unit Centre                                                         ,               
28080700,WSpace40                                          ,PH White Space 400mm 10.0G GF                                                                       ,               
5910800,MenFFCab5NoChn                                    ,Mens Fine Fragrance No Chanel Cabinet 5.0J GF                                                       ,               
