SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$
7=460800,BarryM R&R 1 Mod                                  ,#BarryM 1 Mod R&R Product POG                                                                       ,               
7<930800,Rimmel Cosmetics Hot Spot LGE 1 Stock POG         ,Rimmel 2 Cosmetics Hot Spot 400mm                                                                   ,               
49:60800,0000491163                                        ,Photo End 1 3.0Z Three Way Unit Left                                                                ,               
849=0800,Hlth Bkwll Mid3                                   ,Healthcare Backwall Mid Gondola 3                                                                   ,               
069>0800,H1N1FSDU1 1                                       ,Healthcare Branded FSDU 6 1.0Z                                                                      ,               
9>9;0800,BabyEnd2                                          ,Baby End 2 1.0Y Mainstream OOTW 1-2                                                                 ,               
;5;80800,Eye mid                                           ,Eyecare 1 Mid Gondola Mainstream                                                                    ,               
699:0800,BBEBFSDU15                                        ,BBE Branded FSDU 1 1.0Z                                                                             ,               
46:70800,JML E1                                            ,JML End 1 1.0Z                                                                                      ,               
32150700,Prem Greet 1                                      ,Premium Greetings 1.0P GF                                                                           ,               
:1690800,UNIT2                                             ,UK Chemist Counter Impulse Unit 2                                                                   ,               
2:30800,17 Cosmetics Hot Spot LGE 1 Stock POG             ,SEVENTEEN 3 Cosmetics Hot Spot 400mm                                                                ,               
63:>0800,0000023802                                        ,Feedtime 1 Mid Gondola Mainstream                                                                   ,               
>;920800,TOD1BACK                                          ,Fragrance TOD 1 Back                                                                                ,               
8:9=0800,Fam plan mid                                      ,Family Planning 1 Mid Gondola Mainstream                                                            ,               
65:00800,BFSDU                                             ,Cosmetic End 2 1.0Y Mainstream                                                                      ,               
05710800,0000491060                                        ,PH Toiletries End 6 1.0Y Three Way Unit Left                                                        ,               
8>9?0800,No7HiddenGems2                                    ,No7 Hidden Gems 2                                                                                   ,               
=4:30800,0000491137                                        ,Healthcare End 1 3.0Z Three Way Unit Right                                                          ,               
6<900800,0000307543                                        ,Maybelline 2 Cosmetics Hot Spot 400mm                                                               ,               
8::<0800,Colours Mid                                       ,Colours 3 Mid Gondola Mainstream                                                                    ,               
51;90800,Dig Care Mid                                      ,Digestive Care 1 Mid Gondola 300mm                                                                  ,               
5:970800,0000491036                                        ,Toiletries End 3 1.0Y Three Way Unit Centre                                                         ,               
279>0800,BFSDU                                             ,Healthcare Branded FSDU 2 1.0Z                                                                      ,               
9=9:0800,Revlon R&R 2 Mod                                  ,#Revlon 2 Mod R&R Product POG                                                                       ,               
