SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$,,
39:10800,BFSDU                                             ,Lifestyle Branded FSDU 1 1.0Z                                                                       ,               ,,
77;30800,491163,Photo End 1 3.0Z Three Way Unit Left                                                                ,               ,,
07;90800,BFSDU                                             ,Healthcare Branded FSDU 2 1.0Z                                                                      ,               ,,
5=560800,EBMaleGrm3                                        ,Electrical Male Grooming 400mm 3.0G Destination GF                                                  ,               ,,
49950800,HBD 1 Mid GL                                      ,Hand and Body 1 Mid Gondola Mainstream                                                              ,               ,,
8;9;0800,Branded FSDU                                      ,No7 Q BFSDU 4mod+ 2                                                                                 ,               ,,
==410800,412599,Data Storage Mid Gondola Mainstream                                                                 ,               ,,
24;90800,H1N1FSDU2 1                                       ,Travel Health BFSDU 1.0Z                                                                            ,               ,,
>6=0800,491139,Healthcare End 1 3.0Z Three Way Unit Centre                                                         ,               ,,
3;970800,490946,Toiletries End 1 1.0Y Three Way Unit Left                                                           ,               ,,
1:870800,TravAccs5                                         ,PH Travel Accessories 400mm 5.0G Destination GF                                                     ,               ,,
02:70800,412599,Data Storage Mid Gondola Mainstream                                                                 ,               ,,
>7;00800,PClbFSDU                                          ,Parenting Club FSDU 1.0Z                                                                            ,               ,,
894<0800,Wall Lectern                                      ,No7 Q Wall Lectern                                                                                  ,               ,,
68<0800,491136,Healthcare End 1 3.0Z Three Way Unit Left                                                           ,               ,,
91:<0800,Dental 2 Mid GL                                   ,Dental 2 Mid Gondola Mainstream                                                                     ,               ,,
>>:60800,H1N1FSDU1 1                                       ,Healthcare Branded FSDU 6 1.0Z                                                                      ,               ,,
6?;80800,Hlth Bkwll Mid3                                   ,Healthcare Backwall Mid Gondola 3                                                                   ,               ,,
;5:=0800,FragSS1                                           ,Fragrance Supersite Ladies 1.0G                                                                     ,               ,,
79100800,BasicSunPreps16                                   ,Sun Preparations 400mm 16.0G Destination GF                                                         ,               ,,
:48=0800,SmokeCess200                                      ,Smoking Cessation Mid Gondola 200mm                                                                 ,               ,,
93;70800,IQM4+W                                            ,IQM UK Queue System 4.0G + Water Unit                                                               ,               ,,
:67=0700,TE 1                                              ,PH Toiletries End 1 1.0Y Three Way Unit                                                             ,               ,,
6>700800,491143,Healthcare End 2 3.0Z Three Way Unit Left                                                           ,               ,,
88?0800,Tiss Mid GL                                       ,Tissues 1 Mid Gondola Mainstream                                                                    ,               ,,
:7920800,Natural Collection Cosmetics Hot Spot Stock POG   ,Natural Collection 2 Cosmetics Hot Spot 400mm                                                       ,               ,,
>3950800,ShmpCond Mid                                      ,Shampoo 1 Mid Gondola Mainstream                                                                    ,               ,,
408<0800,491150,Healthcare End 3 3.0Z Three Way Unit Left                                                           ,               ,,
;09=0800,MG                                                ,Expert Skincare 1 Mid Gondola 300mm                                                                 ,               ,,
73410800,EBtyEnd1                                          ,Electrical Beauty End 1 1.0Y Mainstream                                                             ,               ,,
<<500800,BFSDU                                             ,Cosmetics Branded FSDU 1 1.0Z                                                                       ,               ,,
9=900800,3WaySSGE3R                                        ,Sun Shop End 3 1.0Y Three Way Unit Right                                                            ,               ,,
3:5?0800,Mass Frag Mid                                     ,Mass Fragrance 1 Mid Gondola Mainstream                                                             ,               ,,
<:790800,491070,Toiletries End 1 1.0Y Three Way Unit Right                                                          ,               ,,
1>410800,Fam plan mid                                      ,Family Planning 1 Mid Gondola Mainstream                                                            ,               ,,
95:0800,412599,Data Storage Mid Gondola Mainstream                                                                 ,               ,,
;2330700,465978,No7 Till Unit POG 2                                                                                 ,               ,,
>=520800,PMeds 8                                           ,Pharmacy Medicines 300mm 8.0J HH1 GF                                                                ,               ,,
<:850800,HH2G                                              ,PH Holiday Healthcare 400mm 2.0G Destination GF                                                     ,               ,,
9620800,OOTW Module                                       ,Prime Promotional Site Offer of the Week Module 1.0G                                                ,               ,,
8:8>0800,Hlth Bkwll Mid                                    ,Healthcare Backwall Mid Gondola 2                                                                   ,               ,,
54990800,BabyEnd1                                          ,Baby End 1 1.0Y Large                                                                               ,               ,,
